symbol,date,threshold,PPO,SAC,TD3,LST,LS10,LSR,LCl,weights,section
TAEE3,2026-07-09,0 (48),1.00(-1.98),-0.23(-0.09),1.00(-1.83),-0.0002(-0.0007),0.0006(-0.0071),4.7732( -8.2732),-0.23( -0.46),"[9, 14, 10, 20, 28, 0, 20]",All Stocks
TAEE3,2026-07-09,0 (48),1.00(-1.98),-0.23(-0.09),1.00(-1.83),-0.0002(-0.0007),0.0006(-0.0071),4.7732( -8.2732),-0.23( -0.46),"[9, 14, 10, 20, 28, 0, 20]",Energy
TAEE3,2026-07-09,0 (48),1.00(-1.98),-0.23(-0.09),1.00(-1.83),-0.0002(-0.0007),0.0006(-0.0071),4.7732( -8.2732),-0.23( -0.46),"[9, 14, 10, 20, 28, 0, 20]",Brazilian Energy
TAEE4,2026-07-09,0 (24),0.26(-0.85),-0.04(-0.95),1.00(-2.00),0.0025(-0.0033),0.0063(-0.0068),5.6238( -9.5238),-0.00( -0.82),"[18, 21, 0, 22, 24, 0, 15]",All Stocks
TAEE4,2026-07-09,0 (24),0.26(-0.85),-0.04(-0.95),1.00(-2.00),0.0025(-0.0033),0.0063(-0.0068),5.6238( -9.5238),-0.00( -0.82),"[18, 21, 0, 22, 24, 0, 15]",Energy
TAEE4,2026-07-09,0 (24),0.26(-0.85),-0.04(-0.95),1.00(-2.00),0.0025(-0.0033),0.0063(-0.0068),5.6238( -9.5238),-0.00( -0.82),"[18, 21, 0, 22, 24, 0, 15]",Brazilian Energy
TASA3,2026-07-09,72 (29),0.19(-0.29),1.00(-1.10),1.00(-1.10),0.0005(-0.0009),-0.0039( 0.0033),-6.4154(  2.3154),-0.87(  0.85),"[0, 0, 0, 28, 29, 19, 24]",All Stocks
TASA3,2026-07-09,72 (29),0.19(-0.29),1.00(-1.10),1.00(-1.10),0.0005(-0.0009),-0.0039( 0.0033),-6.4154(  2.3154),-0.87(  0.85),"[0, 0, 0, 28, 29, 19, 24]",Stocks to sell
TASA3,2026-07-09,72 (29),0.19(-0.29),1.00(-1.10),1.00(-1.10),0.0005(-0.0009),-0.0039( 0.0033),-6.4154(  2.3154),-0.87(  0.85),"[0, 0, 0, 28, 29, 19, 24]",STRONG SELL
TASA4,2026-07-09,45 (46),0.33(-0.43),1.00(-1.10),1.00(-1.10),0.0122(-0.0128),0.0200(-0.0318),-4.0915(  1.9915),-0.52(  0.02),"[0, 0, 0, 30, 25, 18, 28]",All Stocks
TSLA,2026-07-09,0 (79),0.88(-0.98),0.99(-1.09),1.00(-1.10),-0.0015(-0.0019),0.0206(-0.0207),1.4068( -6.6068),-0.15( -0.79),"[0, 0, 0, 21, 0, 0, 79]",All Stocks
