symbol,date,threshold,PPO,SAC,TD3,LST,LS10,LSR,LCl,weights,section
BPAC5,2026-07-03,95 (57),0.40(-0.52),0.70( 0.30),0.96( 0.84),0.0197(-0.0302),0.0458( 0.0391),0.6394( -1.1606),0.98(  0.96),"[4, 48, 8, 0, 2, 1, 37]",Brazilian Finance
BPAN4,2026-01-23,100 (63),0.24( 0.07),0.22( 0.01),1.00( 0.90),0.0071( 0.0048),0.0131( 0.0087),6.1243(  4.3243),0.99(  0.77),"[2, 2, 0, 33, 32, 2, 29]",All Stocks
BPAN4,2026-01-23,100 (63),0.24( 0.07),0.22( 0.01),1.00( 0.90),0.0071( 0.0048),0.0131( 0.0087),6.1243(  4.3243),0.99(  0.77),"[2, 2, 0, 33, 32, 2, 29]",Stocks to buy
BPAN4,2026-01-23,100 (63),0.24( 0.07),0.22( 0.01),1.00( 0.90),0.0071( 0.0048),0.0131( 0.0087),6.1243(  4.3243),0.99(  0.77),"[2, 2, 0, 33, 32, 2, 29]",STRONG BUY
BPAN4,2026-01-23,100 (63),0.24( 0.07),0.22( 0.01),1.00( 0.90),0.0071( 0.0048),0.0131( 0.0087),6.1243(  4.3243),0.99(  0.77),"[2, 2, 0, 33, 32, 2, 29]",Finance
BPAN4,2026-01-23,100 (63),0.24( 0.07),0.22( 0.01),1.00( 0.90),0.0071( 0.0048),0.0131( 0.0087),6.1243(  4.3243),0.99(  0.77),"[2, 2, 0, 33, 32, 2, 29]",Brazilian Finance
BRAP3,2026-07-03,93 (60),-0.67(-0.77),-0.80(-1.46),0.98( 0.03),0.0078( 0.0033),-0.0005(-0.0014),-1.9319( -5.6319),0.38(  0.01),"[0, 2, 41, 35, 2, 3, 16]",All Stocks
BRAP3,2026-07-03,93 (60),-0.67(-0.77),-0.80(-1.46),0.98( 0.03),0.0078( 0.0033),-0.0005(-0.0014),-1.9319( -5.6319),0.38(  0.01),"[0, 2, 41, 35, 2, 3, 16]",Stocks to buy
BRAP3,2026-07-03,93 (60),-0.67(-0.77),-0.80(-1.46),0.98( 0.03),0.0078( 0.0033),-0.0005(-0.0014),-1.9319( -5.6319),0.38(  0.01),"[0, 2, 41, 35, 2, 3, 16]",STRONG BUY
BRAP4,2026-07-03,82 (29),-0.20(-0.33),-0.99(-1.09),1.00( 0.90),0.0050( 0.0008),0.0095( 0.0063),-4.6936( -6.7936),0.06(  0.04),"[0, 0, 0, 28, 29, 18, 25]",All Stocks
BRAP4,2026-07-03,82 (29),-0.20(-0.33),-0.99(-1.09),1.00( 0.90),0.0050( 0.0008),0.0095( 0.0063),-4.6936( -6.7936),0.06(  0.04),"[0, 0, 0, 28, 29, 18, 25]",Stocks to buy
BRAP4,2026-07-03,82 (29),-0.20(-0.33),-0.99(-1.09),1.00( 0.90),0.0050( 0.0008),0.0095( 0.0063),-4.6936( -6.7936),0.06(  0.04),"[0, 0, 0, 28, 29, 18, 25]",STRONG BUY
BRK-B,2026-07-02,0 (48),0.47(-0.20),-0.81(-0.91),1.00( 0.90),0.0019(-0.0029),0.0036(-0.0039),4.2277( -3.2723),0.47( -0.01),"[12, 0, 0, 27, 25, 14, 22]",All Stocks
BRKM3,2026-07-03,0 (32),-0.47(-1.24),-0.69(-1.59),-1.00(-1.10),0.0031(-0.0364),0.0047(-0.0784),-7.5917(-15.0917),0.00( -0.97),"[0, 0, 0, 27, 19, 32, 22]",All Stocks
BRKM5,2026-07-03,18 (34),0.43( 0.19),-1.00(-1.12),-1.00(-1.10),-0.0069(-0.0400),0.0348(-0.0201),-6.1620(-13.7620),0.28( -0.06),"[18, 17, 0, 0, 34, 31, 0]",All Stocks
BRKM6,2026-07-02,35 (49),-0.33(-1.04),0.86( 0.76),-1.00(-1.49),0.0069( 0.0012),0.0302(-0.0088),-3.5425( -8.2425),0.01( -0.91),"[0, 24, 24, 11, 14, 12, 14]",All Stocks
BRSR3,2026-07-03,86 (64),0.51( 0.02),0.97(-0.01),-1.00(-1.10),0.0041( 0.0008),0.0148( 0.0085),-1.0619( -2.0619),0.54(  0.42),"[25, 13, 0, 26, 12, 1, 22]",All Stocks
BRSR3,2026-07-03,86 (64),0.51( 0.02),0.97(-0.01),-1.00(-1.10),0.0041( 0.0008),0.0148( 0.0085),-1.0619( -2.0619),0.54(  0.42),"[25, 13, 0, 26, 12, 1, 22]",Stocks to buy
BRSR3,2026-07-03,86 (64),0.51( 0.02),0.97(-0.01),-1.00(-1.10),0.0041( 0.0008),0.0148( 0.0085),-1.0619( -2.0619),0.54(  0.42),"[25, 13, 0, 26, 12, 1, 22]",STRONG BUY
BRSR3,2026-07-03,86 (64),0.51( 0.02),0.97(-0.01),-1.00(-1.10),0.0041( 0.0008),0.0148( 0.0085),-1.0619( -2.0619),0.54(  0.42),"[25, 13, 0, 26, 12, 1, 22]",Finance
BRSR3,2026-07-03,86 (64),0.51( 0.02),0.97(-0.01),-1.00(-1.10),0.0041( 0.0008),0.0148( 0.0085),-1.0619( -2.0619),0.54(  0.42),"[25, 13, 0, 26, 12, 1, 22]",Brazilian Finance
BRSR5,2026-07-02,65 (26),0.12( 0.02),-0.51(-0.61),-0.86(-1.17),0.0035( 0.0002),0.0172( 0.0007),1.9041( -1.4959),0.57(  0.06),"[12, 20, 1, 20, 20, 13, 12]",All Stocks
BRSR5,2026-07-02,65 (26),0.12( 0.02),-0.51(-0.61),-0.86(-1.17),0.0035( 0.0002),0.0172( 0.0007),1.9041( -1.4959),0.57(  0.06),"[12, 20, 1, 20, 20, 13, 12]",Stocks to buy
BRSR5,2026-07-02,65 (26),0.12( 0.02),-0.51(-0.61),-0.86(-1.17),0.0035( 0.0002),0.0172( 0.0007),1.9041( -1.4959),0.57(  0.06),"[12, 20, 1, 20, 20, 13, 12]",Finance
BRSR5,2026-07-02,65 (26),0.12( 0.02),-0.51(-0.61),-0.86(-1.17),0.0035( 0.0002),0.0172( 0.0007),1.9041( -1.4959),0.57(  0.06),"[12, 20, 1, 20, 20, 13, 12]",Brazilian Finance
BRSR6,2026-07-03,30 (63),-0.80(-0.95),0.96( 0.02),1.00( 0.58),-0.0083(-0.0084),-0.0065(-0.0069),-0.8115( -2.3115),0.00( -0.77),"[2, 29, 1, 2, 30, 2, 35]",All Stocks
BRSR6,2026-07-03,30 (63),-0.80(-0.95),0.96( 0.02),1.00( 0.58),-0.0083(-0.0084),-0.0065(-0.0069),-0.8115( -2.3115),0.00( -0.77),"[2, 29, 1, 2, 30, 2, 35]",Finance
BRSR6,2026-07-03,30 (63),-0.80(-0.95),0.96( 0.02),1.00( 0.58),-0.0083(-0.0084),-0.0065(-0.0069),-0.8115( -2.3115),0.00( -0.77),"[2, 29, 1, 2, 30, 2, 35]",Brazilian Finance
BRZU,2026-07-02,71 (76),-0.21(-0.49),-0.97(-1.38),-1.00(-1.53),0.0004(-0.0001),0.0093( 0.0053),0.5802( -1.2198),0.22(  0.06),"[1, 2, 1, 2, 42, 23, 29]",All Stocks
BRZU,2026-07-02,71 (76),-0.21(-0.49),-0.97(-1.38),-1.00(-1.53),0.0004(-0.0001),0.0093( 0.0053),0.5802( -1.2198),0.22(  0.06),"[1, 2, 1, 2, 42, 23, 29]",Indexes
